Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Interest",Time
"KMY00 (Cash)",109.45,1.12,109.45,109.45,109.45,108.33,0,0,2025-06-10
"KMM25 (Jun '25)",110.65,0.15,0,110.65,110.65,110.5,0,6,2025-06-11
"KMN25 (Jul '25)",115.9,0.15,0,115.9,115.9,115.75,0,14,2025-06-11
"KMQ25 (Aug '25)",115.125,0.15,0,115.125,115.125,114.975,0,4,2025-06-11
"KMV25 (Oct '25)",106.825,0.15,0,106.825,106.825,106.675,0,0,2025-06-11
"KMZ25 (Dec '25)",94.675,0.15,0,94.675,94.675,94.525,0,21,2025-06-11
"KMG26 (Feb '26)",95.625,0.15,0,95.625,95.625,95.475,0,0,2025-06-11
"KMJ26 (Apr '26)",96.75,0.15,0,96.75,96.75,96.6,0,0,2025-06-11
"KMK26 (May '26)",103.35,0.15,0,103.35,103.35,103.2,0,0,2025-06-11
"KMM26 (Jun '26)",108.7,0.15,0,108.7,108.7,108.55,0,0,2025-06-11
"KMN26 (Jul '26)",110.05,0.15,0,110.05,110.05,109.9,0,0,2025-06-11
"KMQ26 (Aug '26)",108.575,0.15,0,108.575,108.575,108.425,0,0,2025-06-11
"KMV26 (Oct '26)",100.975,0.15,0,100.975,100.975,100.825,0,0,2025-06-11
"KMZ26 (Dec '26)",0,0,0,0,0,0,N/A,N/A,N/A
"Downloaded from Barchart.com as of 06-12-2025 07:10am CDT"
